GEOID,County,total_pop,total_black_pop_over17,total_pop_over17
08023,Costilla County,3524,18,2788
08025,Crowley County,5823,556,5034
08027,Custer County,4255,37,3525
08029,Delta County,30952,139,24101
08031,Denver County,600158,45338,471392
08035,Douglas County,285465,2447,198453
08033,Dolores County,2064,4,1602
08049,Grand County,14843,43,11825
08039,Elbert County,23086,122,17232
08041,El Paso County,622263,27280,459587
08043,Fremont County,46824,1791,38613
08045,Garfield County,56389,281,41173
08047,Gilpin County,5441,22,4482
08069,Larimer County,299630,1864,235573
08051,Gunnison County,15324,43,12544
08053,Hinsdale County,843,1,675
08055,Huerfano County,6711,23,5523
08057,Jackson County,1394,0,1134
08059,Jefferson County,534543,4083,415453
08061,Kiowa County,1398,0,1084
08063,Kit Carson County,8270,216,6431
08065,Lake County,7310,21,5488
08071,Las Animas County,15507,187,12266
08067,La Plata County,51334,160,40822
08087,Morgan County,28159,526,20284
08073,Lincoln County,5467,268,4347
08075,Logan County,22709,839,18167
08077,Mesa County,146723,651,112206
08079,Mineral County,712,2,611
08081,Moffat County,13795,28,10062
08083,Montezuma County,25535,35,19536
08085,Montrose County,41276,105,31097
08099,Prowers County,12551,47,9147
08089,Otero County,18831,102,14171
08091,Ouray County,4436,3,3639
08093,Park County,16206,52,13098
08095,Phillips County,4442,11,3320
08097,Pitkin County,17148,69,14149
08111,San Juan County,699,0,571
08107,Routt County,23509,80,18600
08109,Saguache County,6108,8,4692
08101,Pueblo County,159063,2349,120148
08103,Rio Blanco County,6666,44,5045
08105,Rio Grande County,11982,19,8957
08113,San Miguel County,7359,25,5912
08115,Sedgwick County,2379,7,1919
08117,Summit County,27994,195,23110
08119,Teller County,23350,90,18570
08121,Washington County,4814,29,3689
08123,Weld County,252825,1775,182424
08125,Yuma County,10043,11,7396
08011,Bent County,6499,486,5403
08001,Adams County,441603,9396,315480
08005,Arapahoe County,572003,40558,424679
08007,Archuleta County,12084,19,9676
08009,Baca County,3788,15,2974
08003,Alamosa County,15445,142,11617
08021,Conejos County,8256,21,5920
08013,Boulder County,294567,1961,231813
08014,Broomfield County,55889,415,41237
08015,Chaffee County,17809,264,14821
08017,Cheyenne County,1836,4,1386
08019,Clear Creek County,9088,46,7517
08037,Eagle County,52197,287,39397
